symbol,code,name,market,shares,close,market_cap,rank,as_of,known_at_assumption,universe_type
5009.TWO,5009,榮剛材料,TPEx,602471197.0,46.5,28014000000.0,39,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4979.TWO,4979,華星光,TPEx,140839794.0,188.0,26477000000.0,40,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3264.TWO,3264,欣銓科技,TPEx,490170076.0,53.1,26028000000.0,41,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4772.TWO,4772,台特化,TPEx,147681552.0,174.0,25696000000.0,42,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3363.TWO,3363,上詮,TPEx,103640567.0,247.5,25651000000.0,43,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6023.TWO,6023,元大期,TPEx,289976288.0,86.6,25111000000.0,44,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4147.TWO,4147,中裕,TPEx,273081525.0,86.0,23485000000.0,45,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6125.TWO,6125,廣運機械,TPEx,259011150.0,90.1,23336000000.0,46,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5530.TWO,5530,龍巖,TPEx,420084199.0,55.4,23272000000.0,47,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3260.TWO,3260,威剛科技,TPEx,295865448.0,78.4,23195000000.0,48,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6589.TWO,6589,台康生技,TPEx,305820958.0,72.0,22019000000.0,49,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
8086.TWO,8086,宏捷科技,TPEx,196516123.0,110.5,21715000000.0,50,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
