decision,learning_rate,trees,tree_cap,n_train_rows,latest_label_end,seconds
2023-11-01,0.0005,2721,30000,118490,2023-10-31,64.4067
2023-12-01,0.05,27,3000,120860,2023-11-30,2.302
2023-12-01,0.01,138,3000,120860,2023-11-30,4.2142
2023-12-01,0.005,401,3000,120860,2023-11-30,8.268
2023-12-01,0.001,1784,15000,120860,2023-11-30,39.9579
2023-12-01,0.0005,3391,30000,120860,2023-11-30,79.0734
2024-01-02,0.05,19,3000,123236,2023-12-29,2.4432
2024-01-02,0.01,111,3000,123236,2023-12-29,3.9429
2024-01-02,0.005,328,3000,123236,2023-12-29,7.6399
2024-01-02,0.001,1692,15000,123236,2023-12-29,39.4977
2024-01-02,0.0005,3604,30000,123236,2023-12-29,85.5992
2024-02-01,0.05,37,3000,125768,2024-01-31,2.5961
2024-02-01,0.01,174,3000,125768,2024-01-31,5.191
2024-02-01,0.005,378,3000,125768,2024-01-31,8.3635
2024-02-01,0.001,1710,15000,125768,2024-01-31,41.6586
2024-02-01,0.0005,3409,30000,125768,2024-01-31,85.4052
2024-03-01,0.05,36,3000,127187,2024-02-29,2.6585
2024-03-01,0.01,173,3000,127187,2024-02-29,5.0771
2024-03-01,0.005,355,3000,127187,2024-02-29,8.158
2024-03-01,0.001,1866,15000,127187,2024-02-29,45.4918
2024-03-01,0.0005,3723,30000,127187,2024-02-29,91.4098
2024-04-01,0.05,20,3000,129598,2024-03-29,2.4672
2024-04-01,0.01,95,3000,129598,2024-03-29,3.8811
2024-04-01,0.005,194,3000,129598,2024-03-29,5.5534
2024-04-01,0.001,966,15000,129598,2024-03-29,27.6765
2024-04-01,0.0005,1943,30000,129598,2024-03-29,55.7044
2024-05-02,0.05,40,3000,131876,2024-04-30,2.703
2024-05-02,0.01,187,3000,131876,2024-04-30,5.4918
2024-05-02,0.005,358,3000,131876,2024-04-30,8.2687
2024-05-02,0.001,1803,15000,131876,2024-04-30,43.0888
2024-05-02,0.0005,3574,30000,131876,2024-04-30,77.9594
2024-06-03,0.05,55,3000,134433,2024-05-31,2.9786
2024-06-03,0.01,202,3000,134433,2024-05-31,5.7801
2024-06-03,0.005,383,3000,134433,2024-05-31,9.0408
2024-06-03,0.001,1938,15000,134433,2024-05-31,48.4552
2024-06-03,0.0005,1796,30000,134433,2024-05-31,50.2211
2024-07-01,0.05,38,3000,136578,2024-06-28,2.7228
2024-07-01,0.01,168,3000,136578,2024-06-28,5.1898
2024-07-01,0.005,378,3000,136578,2024-06-28,9.0188
2024-07-01,0.001,1935,15000,136578,2024-06-28,46.6402
2024-07-01,0.0005,3798,30000,136578,2024-06-28,78.4967
2024-08-01,0.05,36,3000,139009,2024-07-31,2.3218
2024-08-01,0.01,103,3000,139009,2024-07-31,4.1595
2024-08-01,0.005,212,3000,139009,2024-07-31,6.1153
2024-08-01,0.001,1049,15000,139009,2024-07-31,31.2016
2024-08-01,0.0005,2102,30000,139009,2024-07-31,56.1105
2024-09-02,0.05,22,3000,141440,2024-08-30,2.187
2024-09-02,0.01,101,3000,141440,2024-08-30,3.9078
2024-09-02,0.005,211,3000,141440,2024-08-30,6.4307
2024-09-02,0.001,983,15000,141440,2024-08-30,30.6886
2024-09-02,0.0005,2409,30000,141440,2024-08-30,59.3206
2024-10-01,0.05,22,3000,143728,2024-09-30,2.5552
2024-10-01,0.01,61,3000,143728,2024-09-30,3.6589
2024-10-01,0.005,159,3000,143728,2024-09-30,5.7828
2024-10-01,0.001,814,15000,143728,2024-09-30,25.3651
2024-10-01,0.0005,1631,30000,143728,2024-09-30,46.0937
2024-11-01,0.05,32,3000,145873,2024-10-30,2.8767
2024-11-01,0.01,117,3000,145873,2024-10-30,5.0089
2024-11-01,0.005,271,3000,145873,2024-10-30,7.7828
2024-11-01,0.001,1487,15000,145873,2024-10-30,37.3651
2024-11-01,0.0005,2977,30000,145873,2024-10-30,65.0042
2024-12-02,0.05,24,3000,148297,2024-11-29,2.7771
2024-12-02,0.01,134,3000,148297,2024-11-29,4.9308
2024-12-02,0.005,257,3000,148297,2024-11-29,7.2826
2024-12-02,0.001,1264,15000,148297,2024-11-29,32.5263
2024-12-02,0.0005,2498,30000,148297,2024-11-29,57.2729
