strategy,stage,episode,date,best_iteration,train_pearson,validation_pearson,prediction_std,n_train_rows,n_validation_rows,n_symbols
lgbm_raw,full,dev_2019_12,2019-12-02,465,0.425483,0.000688,0.010187,60617,20616,138
lgbm_raw,full,dev_2019_12,2019-12-09,1,0.231968,0.008335,7.6e-05,61175,20617,138
lgbm_raw,full,dev_2019_12,2019-12-16,2812,0.647713,0.02116,0.016883,61733,20620,138
lgbm_raw,full,dev_2019_12,2019-12-23,132,0.315478,0.010612,0.006163,62290,20622,138
lgbm_raw,full,dev_2019_12,2019-12-30,73,0.296255,0.010944,0.00428,62847,20621,138
lgbm_raw,full,dev_2019_12m,2019-12-16,2812,0.647713,0.02116,0.016883,61733,20620,138
lgbm_raw,full,dev_2019_12m,2019-12-23,132,0.315478,0.010612,0.006163,62290,20622,138
lgbm_raw,full,dev_2019_12m,2019-12-30,73,0.296255,0.010944,0.00428,62847,20621,138
lgbm_raw,full,dev_2019_12m,2020-01-07,8,0.248552,0.012002,0.000696,63404,20622,138
lgbm_raw,full,dev_2019_12m,2020-01-14,1,0.223572,0.011997,8.5e-05,63964,20624,138
lgbm_raw,full,dev_2020_01,2020-01-02,4,0.242618,0.011449,0.000341,63069,20621,138
lgbm_raw,full,dev_2020_01,2020-01-09,34,0.267171,0.017731,0.002657,63628,20624,138
lgbm_raw,full,dev_2020_01,2020-01-16,1,0.220228,0.013708,8.3e-05,64188,20624,138
lgbm_raw,full,dev_2020_01,2020-02-03,91,0.29169,0.005555,0.006062,64745,20625,138
lgbm_raw,full,dev_2020_01,2020-02-10,76,0.284455,0.012515,0.005044,64869,20624,138
lgbm_raw,full,dev_2020_01m,2020-01-15,1102,0.519233,0.012058,0.014596,64076,20624,138
lgbm_raw,full,dev_2020_01m,2020-01-31,88,0.287037,0.00495,0.005948,64634,20625,138
lgbm_raw,full,dev_2020_01m,2020-02-07,115,0.301883,0.014898,0.006707,64865,20625,138
lgbm_raw,full,dev_2020_01m,2020-02-14,155,0.313261,0.009583,0.007211,64878,20624,138
lgbm_raw,full,dev_2020_01m,2020-02-21,115,0.292599,0.023886,0.006263,64889,20624,138
lgbm_raw,full,dev_2020_02,2020-02-03,91,0.29169,0.005555,0.006062,64745,20625,138
lgbm_raw,full,dev_2020_02,2020-02-10,76,0.284455,0.012515,0.005044,64869,20624,138
lgbm_raw,full,dev_2020_02,2020-02-17,434,0.402813,0.011894,0.010795,64881,20624,138
lgbm_raw,full,dev_2020_02,2020-02-24,106,0.291148,0.023071,0.005899,64892,20610,138
lgbm_raw,full,dev_2020_02,2020-03-03,148,0.313019,0.017881,0.005969,64899,20608,138
lgbm_raw,full,dev_2020_02m,2020-02-17,434,0.402813,0.011894,0.010795,64881,20624,138
lgbm_raw,full,dev_2020_02m,2020-02-24,106,0.291148,0.023071,0.005899,64892,20610,138
lgbm_raw,full,dev_2020_02m,2020-03-03,148,0.313019,0.017881,0.005969,64899,20608,138
lgbm_raw,full,dev_2020_02m,2020-03-10,1594,0.568655,0.026071,0.012924,64905,20610,138
lgbm_raw,full,dev_2020_02m,2020-03-17,10,0.214337,0.037128,0.000588,64912,20616,139
lgbm_raw,full,dev_2020_03,2020-03-02,236,0.350781,0.021703,0.007391,64898,20609,138
lgbm_raw,full,dev_2020_03,2020-03-09,3,0.210384,0.02578,0.00018,64904,20610,138
lgbm_raw,full,dev_2020_03,2020-03-16,3,0.200029,0.028783,0.000182,64911,20615,139
lgbm_raw,full,dev_2020_03,2020-03-23,16,0.230881,0.045996,0.000937,64916,20622,139
lgbm_raw,full,dev_2020_03,2020-03-30,57,0.271559,0.03303,0.003064,65471,20552,139
lgbm_raw,full,dev_2020_03m,2020-03-16,3,0.200029,0.028783,0.000182,64911,20615,139
lgbm_raw,full,dev_2020_03m,2020-03-23,16,0.230881,0.045996,0.000937,64916,20622,139
lgbm_raw,full,dev_2020_03m,2020-03-30,57,0.271559,0.03303,0.003064,65471,20552,139
lgbm_raw,full,dev_2020_03m,2020-04-08,950,0.500943,0.154582,0.013121,66026,20531,139
lgbm_raw,full,dev_2020_03m,2020-04-15,268,0.360531,0.251813,0.011025,66584,20530,139
lgbm_raw,full,dev_2020_04,2020-04-01,55,0.27168,0.040142,0.003097,65694,20551,139
lgbm_raw,full,dev_2020_04,2020-04-10,305,0.374657,0.227799,0.010787,66248,20530,139
lgbm_raw,full,dev_2020_04,2020-04-17,295,0.370112,0.266122,0.011445,66810,20526,139
lgbm_raw,full,dev_2020_04,2020-04-24,257,0.35304,0.280614,0.011357,67368,20524,139
lgbm_raw,full,dev_2020_04,2020-05-04,251,0.350161,0.291152,0.011216,67925,20524,139
lgbm_raw,full,dev_2020_04m,2020-04-15,268,0.360531,0.251813,0.011025,66584,20530,139
lgbm_raw,full,dev_2020_04m,2020-04-22,310,0.372683,0.27657,0.012155,67145,20525,139
lgbm_raw,full,dev_2020_04m,2020-04-29,289,0.363123,0.280517,0.012058,67701,20524,139
lgbm_raw,full,dev_2020_04m,2020-05-07,275,0.355685,0.295608,0.011852,68258,20526,139
lgbm_raw,full,dev_2020_04m,2020-05-14,301,0.360079,0.292853,0.012043,68813,20523,139
lgbm_raw,full,dev_2020_05,2020-05-04,251,0.350161,0.291152,0.011216,67925,20524,139
lgbm_raw,full,dev_2020_05,2020-05-11,534,0.421834,0.295472,0.015112,68480,20526,139
lgbm_raw,full,dev_2020_05,2020-05-18,259,0.349558,0.302878,0.011205,69035,20519,139
lgbm_raw,full,dev_2020_05,2020-05-25,265,0.355776,0.297319,0.011021,69586,20510,139
lgbm_raw,full,dev_2020_05,2020-06-01,282,0.358338,0.294882,0.011225,70143,20503,139
lgbm_raw,full,dev_2020_05m,2020-05-15,326,0.368106,0.297437,0.012576,68924,20521,139
lgbm_raw,full,dev_2020_05m,2020-05-22,324,0.367586,0.294824,0.01223,69476,20512,139
lgbm_raw,full,dev_2020_05m,2020-05-29,223,0.340363,0.300573,0.010194,70031,20505,139
lgbm_raw,full,dev_2020_05m,2020-06-05,213,0.328397,0.29331,0.01019,70590,20497,139
lgbm_raw,full,dev_2020_05m,2020-06-12,232,0.335039,0.293636,0.010357,71147,20491,139
lgbm_raw,full,dev_2020_06,2020-06-01,282,0.358338,0.294882,0.011225,70143,20503,139
lgbm_raw,full,dev_2020_06,2020-06-08,209,0.326518,0.295637,0.009929,70702,20496,139
lgbm_raw,full,dev_2020_06,2020-06-15,243,0.340117,0.294414,0.01072,71259,20489,139
