symbol,code,regular_listing_date,source_url,raw_path,use
1560.TW,1560,2005-01-31,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1563.TW,1563,2024-05-13,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1568.TW,1568,2014-05-14,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1582.TW,1582,2009-12-17,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1583.TW,1583,2008-01-24,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1587.TW,1587,2018-04-16,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1589.TW,1589,2012-04-27,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1590.TW,1590,2010-12-13,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1597.TW,1597,2020-12-23,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1598.TW,1598,2016-09-20,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1603.TW,1603,1968-06-03,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1604.TW,1604,1970-12-14,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1605.TW,1605,1972-11-03,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1608.TW,1608,1988-07-11,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1609.TW,1609,1988-12-12,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1611.TW,1611,1990-01-16,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1612.TW,1612,1993-05-08,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1614.TW,1614,1997-09-18,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1615.TW,1615,2000-03-30,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
