date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan
2025-11-17,1246762321.1129882,1265959501.1129882,98641092.81098628,0.07911780067505497,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-18,1219867706.9619873,1239064886.9619873,98641092.81098628,0.08086212320239745,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-19,1212448478.6599853,1231645658.6599853,98641092.81098628,0.08135693561181731,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-20,1246762321.1129882,1265959501.1129882,98641092.81098628,0.07911780067505497,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-21,1208738864.508984,1227936044.508984,98641092.81098628,0.08160661968212334,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-24,1203174478.6599853,1222371658.6599853,98641092.81098628,0.08198403021384404,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-25,1218012864.508984,1237210044.508984,98641092.81098628,0.08098526352654849,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-26,1236560864.508984,1255758044.508984,98641092.81098628,0.07977051161986666,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-27,1246762321.1129882,1265959501.1129882,98641092.81098628,0.07911780067505497,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-11-28,1255108864.508984,1274306044.508984,98641092.81098628,0.0785916629228621,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-01,1239343092.8109863,1258540272.8109863,98641092.81098628,0.07959143306092573,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-02,1243052706.9619873,1262249886.9619873,98641092.81098628,0.07935391014276817,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-03,1254181478.6599853,1273378658.6599853,98641092.81098628,0.07864977635962073,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-04,1252326706.9619873,1271523886.9619873,98641092.81098628,0.07876626144169614,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-05,1262528092.8109863,1281725272.8109863,98641092.81098628,0.0781298201383895,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
