date,A,A_dplan_guard,v1_matched,0050
2025-06-27,975349674.4992154,975349674.4992154,987118775.9377468,994324012.8109864
2025-06-30,979328822.5853932,979328822.5853932,988756043.4056896,995622372.8109864
2025-07-01,987992834.3328252,987992834.3328252,991442384.8118812,1000815801.4901856
2025-07-02,987153285.9947958,987153285.9947958,995089103.7815996,1001001321.1129882
2025-07-03,1002006610.8934532,1002006610.8934532,1010853944.3812294,1013428447.150586
2025-07-04,1007297812.9688184,1007297812.9688184,1015545798.7101462,1004896384.1317872
2025-07-07,996102821.8698088,996102821.8698088,997958610.6016424,999517447.150586
2025-07-08,1006757960.1200944,1006757960.1200944,1012686151.540722,995436864.5089842
2025-07-09,1022191199.0807188,1022191199.0807188,1029560607.1751972,1004710864.5089842
2025-07-10,1033240728.0662956,1033240728.0662956,1039605454.1712562,1015097769.980786
2025-07-11,1026014920.690714,1026014920.690714,1032666065.8398212,1018992832.9995848
2025-07-14,1019780186.3867476,1019780186.3867476,1027827408.7207284,1013613966.7733886
2025-07-15,1038429193.4756898,1038429193.4756898,1047133371.6007564,1026041092.8109864
2025-07-16,1033275178.3415426,1033275178.3415426,1052858023.2586026,1033460321.1129882
2025-07-17,1031279025.0856822,1031279025.0856822,1053863372.6250064,1039024706.9619873
2025-07-18,1043979081.7382354,1043979081.7382354,1064083045.6459696,1052935706.9619873
2025-07-21,1044264458.118817,1044264458.118817,1056921750.5381356,1042734321.1129882
2025-07-22,1019976747.8547496,1019976747.8547496,1031414697.3708242,1036242478.6599852
2025-07-23,1021099033.0073016,1021438418.128286,1034279189.0622368,1039024706.9619873
2025-07-24,1031341094.6800554,1032187114.7828096,1048587342.0235312,1044589092.8109864
2025-07-25,1035275942.1950994,1035074623.9380893,1052391560.675538,1042734321.1129882
2025-07-28,1048234480.5011492,1047076067.6643834,1068088793.0122852,1045516478.6599852
2025-07-29,1047948108.2805996,1047949895.4219131,1063018628.9570888,1034387706.9619873
2025-07-30,1054411243.7913804,1051357436.6071386,1066416747.0643116,1044589092.8109864
2025-07-31,1084776912.373716,1078078552.3422935,1101218073.0930438,1054790478.6599852
2025-08-01,1087340076.422299,1080341733.1025872,1103942805.9288535,1046443864.5089842
2025-08-04,1069182970.8585304,1063820536.3354716,1086824557.1478617,1040879478.6599852
2025-08-05,1083824031.196679,1078647053.1452014,1094478656.544348,1052935706.9619873
2025-08-06,1086113123.6508234,1081420595.3025622,1099060350.2330835,1044589092.8109864
2025-08-07,1109206124.432664,1103783984.157204,1120113087.3661969,1071483706.9619873
2025-08-08,1142923644.5535326,1136214260.9434786,1146609746.070533,1071483706.9619873
2025-08-11,1170767670.730751,1160545370.497285,1171092977.7046835,1078902864.508984
2025-08-12,1190379228.9863813,1177553082.3217363,1186664505.5444856,1079830321.1129882
2025-08-13,1221096787.3875072,1207470407.0384045,1204405029.5518296,1088176864.508984
2025-08-14,1227898329.146012,1214320506.6537094,1213044079.1390424,1084467321.1129882
2025-08-15,1261027837.9394877,1246530414.182644,1242660433.2464433,1084467321.1129882
2025-08-18,1308917293.2834158,1290658812.467163,1288980077.6893368,1087249478.6599853
2025-08-19,1255876369.3786364,1243905609.2513175,1251718793.3080344,1085394706.9619873
2025-08-20,1201103934.9010634,1193165807.806961,1198021065.2105494,1057572706.9619873
2025-08-21,1234715786.9334931,1228074171.3446865,1226397829.044231,1063137092.8109864
2025-08-22,1226938045.8346648,1219546189.6765518,1214080850.5883827,1058500092.8109864
2025-08-25,1256812021.3786595,1245157356.7279167,1241782726.4862845,1076120706.9619873
2025-08-26,1271279020.269949,1260848670.4297764,1256687469.5114088,1077048092.8109865
2025-08-27,1299544973.3564744,1290651441.8170738,1285524775.2676735,1081685092.8109865
2025-08-28,1291408282.6373596,1287230470.1220138,1279131303.723005,1072411092.8109864
2025-08-29,1328792973.164204,1328773051.4387436,1316195601.9495194,1072411092.8109864
2025-09-01,1279493786.9821258,1281741275.1168098,1272848855.32786,1063137092.8109864
2025-09-02,1257477473.7590303,1260951157.5519738,1253764840.7606442,1063137092.8109864
2025-09-03,1257720707.4314575,1264129907.4922907,1265161534.9120758,1062209706.9619873
2025-09-04,1246655127.1210616,1255180882.1077886,1256091150.927321,1068701478.6599852
2025-09-05,1288788594.086812,1297398654.291705,1294398593.6202433,1078902864.508984
2025-09-08,1300562432.4117618,1306768201.903214,1306830461.273905,1088176864.508984
2025-09-09,1328599023.7064786,1330163923.100532,1329922672.9005542,1098378321.1129882
2025-09-10,1341922766.778443,1347921539.7632658,1340956911.3047128,1117853706.9619873
2025-09-11,1328138708.2544708,1325177011.3472512,1322540193.967141,1127127706.9619873
2025-09-12,1308804822.006181,1301603102.6405065,1303357135.0082252,1137329092.8109865
2025-09-15,1282182091.9612904,1277985471.1156378,1276753626.5164828,1137329092.8109865
2025-09-16,1296473218.0240648,1285062139.9769354,1280708665.3310854,1151240092.8109865
2025-09-17,1288600047.2951667,1273701147.3601186,1270820013.505526,1143820864.508984
2025-09-18,1318681830.8862,1307770820.361859,1293620581.7349892,1154949706.9619873
2025-09-19,1325345296.0026171,1312648746.7681365,1298850936.0067265,1155877092.8109865
2025-09-22,1357996174.677808,1355592561.3869774,1337661588.280012,1163296321.1129882
2025-09-23,1363527429.3928256,1348587619.0138862,1339289434.9228988,1182771706.9619873
2025-09-24,1347658325.685271,1335588973.4376132,1329404162.2485526,1181844321.1129882
2025-09-25,1336950034.464942,1319836427.2996247,1314614006.0032897,1178134706.9619873
2025-09-26,1297360723.8339791,1284558655.3746462,1274051181.604391,1160514092.8109865
2025-09-30,1350058927.295403,1321114068.151502,1322231671.9544785,1170715478.6599853
2025-10-01,1362534214.0881543,1330884377.7712898,1329629547.1925497,1176279864.508984
2025-10-02,1390678203.8795953,1353062810.8084793,1354597757.477333,1196682706.9619873
2025-10-03,1415552792.3418849,1378670268.197281,1374767502.8163874,1212448478.6599853
