treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
D13,A11,core_all,exclude,30,30,0,0.00489411,-0.0133794,-0.0277625,-0.00144281,17,13,0,0.584665,-0.0100046,0.00809952,-0.00841411,0.0053726,False
D13,M00,development,exclude,18,18,0,0.0047043,-0.0138644,-0.0271691,-0.00166685,10,8,0,0.814529,-0.0133208,0.0184784,-0.0149826,0.00997679,False
D13,M00,validation,exclude,8,8,0,0.00348747,-0.00195572,-0.00929794,0.0107825,4,4,0,1,-0.00271723,0.0392105,-0.004049,0.0258416,False
D13,M00,historical_holdout,exclude,4,4,0,-0.0269851,-0.0474477,-0.0512438,-0.0205046,1,3,0,0.625,-0.0537745,0.0257264,-0.0495566,0.00854743,False
D13,M00,seasonal_diagnostic,exclude,16,16,0,-0.00177496,-0.0116978,-0.0279438,0.000515721,7,9,0,0.803619,-0.0111189,0.0117086,-0.00932474,0.0108264,False
D13,M00,recent_diagnostic,exclude,3,3,0,0.030571,0.0241535,0.0203029,0.0296695,3,0,0,0.25,0.0177359,0.0407015,0.0177359,0.0407015,False
D13,M00,rolling_diagnostic,exclude,2,2,0,0.0246902,0.0149394,0.0090889,0.0246902,2,0,0,0.5,0.00518858,0.0441917,0.00518858,0.0441917,False
D13,M00,core_val+holdout,exclude,12,12,0,-0.00109815,-0.0126369,-0.0432702,0.000353491,5,7,0,0.774414,-0.0166422,0.0271314,-0.0165486,0.0165164,False
D13,M00,core_all,exclude,30,30,0,0.00188371,-0.0138644,-0.0366879,-0.000858711,15,15,0,1,-0.00972802,0.0134278,-0.0109922,0.00869648,False
A11,M00,development,exclude,18,18,0,0.00147856,-0.019057,-0.0370856,-0.00057298,10,8,0,0.814529,-0.0150592,0.0139938,-0.0121822,0.0108346,False
A11,M00,validation,exclude,8,8,0,0.00892494,-0.00450188,-0.00938096,0.0102084,5,3,0,0.726562,-0.00626969,0.0276544,-0.00185628,0.022285,False
A11,M00,historical_holdout,exclude,4,4,0,-0.00913869,-0.0194964,-0.0281291,-0.0134577,0,4,0,0.125,-0.0338842,-0.00166915,-0.0263074,-0.00262301,False
A11,M00,seasonal_diagnostic,exclude,16,16,0,0.00343222,-0.0091617,-0.0234522,0.00156701,10,6,0,0.454498,-0.0102385,0.0120751,-0.007265,0.0100447,False
A11,M00,recent_diagnostic,exclude,3,3,0,0.0202406,9.91133e-05,-0.0119858,0.00963734,2,1,0,1,-0.0200424,0.0287138,-0.0200424,0.0287138,False
A11,M00,rolling_diagnostic,exclude,2,2,0,0.0154482,0.0153975,0.0153671,0.0154482,2,0,0,0.5,0.0153468,0.0155497,0.0153468,0.0155497,False
A11,M00,core_val+holdout,exclude,12,12,0,-0.00262301,-0.0083774,-0.0164466,0.00231972,5,7,0,0.774414,-0.0104851,0.0187545,-0.00861025,0.0133778,False
A11,M00,core_all,exclude,30,30,0,-5.88675e-05,-0.0137699,-0.0339432,0.0005841,15,15,0,1,-0.00661663,0.00892494,-0.00773077,0.00864845,False
