episode,start,end,mom20,mom20|turnover,mom20|cost,mom20|dq,mom20|warn,tsmc_formal,tsmc_formal|turnover,tsmc_formal|cost,tsmc_formal|dq,tsmc_formal|warn,tsmc_core_equal,tsmc_core_equal|turnover,tsmc_core_equal|cost,tsmc_core_equal|dq,tsmc_core_equal|warn,tsmc_blend_only,tsmc_blend_only|turnover,tsmc_blend_only|cost,tsmc_blend_only|dq,tsmc_blend_only|warn
dev_2021_01,2021-01-04,2021-02-04,-0.015478381413727593,3.229107449083515,0.008023195291988746,0,0,-0.04214685086868608,3.805043141228563,0.009642065673456263,0,0,0.02203149690692774,2.5810209313781396,0.006180897159362016,0,0,-0.071533771996382,5.280028707826105,0.013642413021315108,0,0
dev_2021_01m,2021-01-15,2021-02-26,0.002919820536574136,3.093055462161225,0.0076289845802408884,0,0,-0.01722711422180323,4.158898224674012,0.01067379373716159,0,1,-0.0012086142168252767,2.708833864631641,0.00653927077179891,0,0,-0.02281241337992912,5.789714701777968,0.015154079561163603,0,0
dev_2021_02,2021-02-01,2021-03-16,0.02771899735770056,4.015580074728082,0.01070362689684912,0,0,0.02156294345881493,4.792370462175949,0.013019643154629584,0,1,0.02860635043313331,3.2057034963681894,0.00824992231461402,0,0,0.02133931651914911,6.357495419383044,0.017733728208226194,0,1
dev_2021_02m,2021-02-17,2021-03-23,-0.017324590125446182,4.140654248468782,0.010514381828395609,0,0,-0.036396091095616145,4.255037868779009,0.01077694770116482,0,1,-0.032773663856919155,3.2561332774479403,0.007939345343395094,0,0,-0.018218564779533652,5.978050830965874,0.01574351603135696,0,0
dev_2021_03,2021-03-02,2021-04-07,0.06742883429979041,3.9932621405710123,0.010180892850519234,0,0,0.05623397164934629,4.634222618481227,0.011986586873266772,0,0,0.056181817969722214,3.006098083997378,0.007294211117645507,0,0,0.06670523521158112,6.362888324970813,0.016955079828652686,0,0
dev_2021_03m,2021-03-15,2021-04-20,0.13248764882583042,4.379383383037599,0.011868121244666376,0,0,0.11951709007844835,4.913093979605978,0.01322631913422943,0,1,0.09935349174637853,3.337444639188223,0.008581744519872495,0,0,0.15507956798187927,7.016473799432065,0.019738327770304778,0,0
dev_2021_04,2021-04-01,2021-05-10,0.11909935521393944,3.527924927044199,0.0092877646749634,0,0,0.18429718621928726,3.0740223830975726,0.00799859420846057,0,0,0.09108663750076529,2.832694804696548,0.007109916226016064,0,0,0.23720352567878855,4.1854400703268615,0.011602832328480937,0,0
dev_2021_04m,2021-04-15,2021-05-19,-0.023370911660341664,3.311762588998327,0.008643759276794189,0,0,0.02990707262396497,2.7617068862934375,0.0071168593251026676,0,0,-0.03331289301775464,2.5827525875375033,0.006287644959323196,0,0,0.051321161860669484,3.531161195965747,0.009829461208051182,0,0
dev_2021_05,2021-05-03,2021-06-03,-0.036943138715029855,3.7423053952941028,0.008662000973063433,0,0,-0.0013091735813226535,3.6381422011568776,0.008496645967154565,0,0,-0.026018130956702246,3.098588849628932,0.007035197469985076,0,0,-0.01941688217680304,4.862935148524387,0.011498153105970186,0,1
dev_2021_05m,2021-05-17,2021-06-18,0.23738796427809472,4.770170003684909,0.014038755127918847,0,0,0.273619943098937,4.782265405806962,0.014187089036748183,0,0,0.2006999116297039,3.695707004612222,0.010364222495126195,0,0,0.29952123992620283,6.916113941770595,0.021543722351088816,0,0
dev_2021_06,2021-06-01,2021-07-05,0.164392638229782,4.041275084261998,0.01068358291260777,0,0,0.19040238268146692,3.996428320193319,0.01053696006325886,0,0,0.12208463355159682,3.242472052849762,0.008173371554849655,0,0,0.22341977412323288,5.323428571398706,0.014606699112500787,0,0
dev_2021_06m,2021-06-15,2021-07-16,0.14598131278044302,3.0038844608329387,0.007786259153893426,0,0,0.14860096239894838,2.773282851571003,0.007153870364018012,0,0,0.12445517181432253,2.3098273611444493,0.005582222087571665,0,0,0.1858247983304735,4.0411958808382415,0.011498203017644084,0,0
dev_2021_07,2021-07-01,2021-08-03,0.011408097724094235,3.646025805634647,0.009469201812353119,0,0,-0.034021208018921834,4.023137648050254,0.010173426161681973,0,0,0.011402629390441898,2.752302422766764,0.0067159139176179265,0,0,-0.027200170087702258,5.661280740681905,0.015141594248383593,0,0
dev_2021_07m,2021-07-15,2021-08-17,-0.1013001635850943,4.106530735871184,0.010194370173816,0,0,-0.09361531416935254,4.588841487306411,0.011655976638863858,0,0,-0.08450214786636212,3.3331671863828918,0.008007895135485573,0,0,-0.10627690147416513,6.238466981708092,0.0163449312511348,0,0
dev_2021_08,2021-08-02,2021-09-02,0.009988472075236121,3.2965266299146294,0.008068794568720939,0,0,-0.01593490581762569,3.7076839942979936,0.009156830623102592,0,0,0.014461128141505242,2.7522844305221827,0.00652306463984829,0,0,-0.021167560171570066,5.050145631240072,0.012829138179987393,0,0
