official_ticker,canonical_symbol,name,market,previous_exact_symbol_covered,identity_mapping,first_daily,last_daily,daily_warmup_rows,daily_evaluation_rows,complete_4h_warmup_rows,complete_4h_evaluation_rows,known_at,known_at_policy
2609,2609.TW,陽明,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2451,2451.TW,創見,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2834,2834.TW,臺企銀,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2812,2812.TW,台中銀,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6139,6139.TW,亞翔,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2377,2377.TW,微星,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5274,5274.TWO,信驊,TPEX,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3491,3491.TWO,昇達科,TPEX,False,,2024-01-02,2026-09-21,241,416,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6223,6223.TWO,旺矽,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6121,6121.TWO,新普,TPEX,True,,2024-01-02,2026-09-21,242,417,62,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6488,6488.TWO,環球晶,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6548,6548.TWO,長科,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
8299,8299.TWO,群聯,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1785,1785.TWO,光洋科,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6274,6274.TWO,台燿,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3363,3363.TWO,上詮,TPEX,True,,2024-01-02,2026-09-21,242,417,62,412,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5347,5347.TWO,世界,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
7828,7828.TWO,創新服務,TPEX,False,,2026-04-22,2026-09-21,0,106,0,105,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3293,3293.TWO,鈊象,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
4979,4979.TWO,華星光,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
8069,8069.TWO,元太,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6182,6182.TWO,合晶,TPEX,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3529,3529.TWO,力旺,TPEX,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3163,3163.TWO,波若威,TPEX,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3081,3081.TWO,聯亞,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3211,3211.TWO,順達,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3260,3260.TWO,威剛,TPEX,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
4966,4966.TWO,譜瑞-KY,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3105,3105.TWO,穩懋,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
4991,4991.TWO,環宇-KY,TPEX,False,,2024-01-02,2026-09-21,242,417,61,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5289,5289.TWO,宜鼎,TPEX,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5903,5903.TWO,全家,TPEX,True,,2024-01-02,2026-09-21,242,417,56,349,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5536,5536.TWO,聖暉,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1815,1815.TWO,富喬,TPEX,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5483,5483.TWO,中美晶,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3680,3680.TWO,家登,TPEX,True,,2024-01-02,2026-09-21,242,417,62,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6147,6147.TWO,頎邦,TPEX,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
8415,8415.TWO,大國鋼,TPEX,True,,2024-01-02,2026-09-21,242,417,57,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
7734,7734.TWO,印能科技,TPEX,False,,2025-02-26,2026-09-21,0,385,0,364,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
