track,candidate_id,month,sessions,return_net,start_nav,end_nav,max_drawdown,partial_period,research_eligible
historical_pit,x0454,2025-08,21,0.15332826240299058,1083099278.325817,1249169008.6814477,0.06135697790039274,False,False
historical_pit,x0454,2025-09,21,0.043640378256492474,1249169008.6814477,1303683216.7265937,0.04445281290948744,False,False
historical_pit,x0454,2025-10,20,0.1399466466193393,1303683216.7265937,1486129311.161394,0.02762035701436172,False,False
historical_pit,x0454,2025-11,20,0.008172254465624862,1486129311.161394,1498274338.0610285,0.06409386640854431,False,False
historical_pit,x0454,2025-12,22,0.01684836758799335,1498274338.0610285,1523517814.856338,0.033175180612048605,False,False
historical_pit,x0454,2026-01,21,0.06888387088302395,1523517814.856338,1628463619.3028889,0.017251881140432745,False,False
historical_pit,x0454,2026-02,12,0.1003284815858676,1628463619.3028889,1791844901.5453742,0.05520722858639815,False,False
historical_pit,x0454,2026-03,22,-0.03222995876341739,1791844901.5453742,1734093814.258127,0.09116378046146678,False,False
historical_pit,x0454,2026-04,20,0.3743923530167046,1734093814.258127,2383325277.7299395,0.02296697609534404,False,False
historical_pit,x0454,2026-05,20,0.11443672837828633,2383325277.7299395,2656065225.1746244,0.09226302439455836,False,False
historical_pit,x0454,2026-06,21,0.0016324859593495056,2656065225.1746244,2660401214.3618383,0.08626043261180538,False,False
historical_pit,x0454,2026-07,22,-0.07469494773136476,2660401214.3618383,2461682684.7106214,0.11835514775536637,False,False
historical_pit,x0454,2026-08,21,0.09837850663874681,2461682684.7106214,2703859351.0509133,0.008504992041797554,False,False
historical_pit,x0454,2026-09,15,0.0026068009829420813,2703859351.0509133,2710907774.26497,0.049913801272313374,True,False
